date,ping,down,up

2016-08-11 17:46:27,19.844,61.43,18.04
2016-08-11 17:48:43,17.822,61.83,16.52
2016-08-11 17:50:21,17.786,61.17,11.23
2016-08-11 18:49:49,21.382,55.60,17.60
2016-08-11 19:19:57,22.261,54.57,17.75
2016-08-11 19:33:47,19.689,53.47,17.65
2016-08-11 19:34:40,20.13,56.39,17.41
2016-08-11 19:35:54,25.37,54.15,17.19
2016-08-11 19:41:09,22.348,60.89,17.17
2016-08-11 19:42:23,19.585,56.97,17.48
2016-08-11 19:43:16,20.331,58.23,16.95
2016-08-11 19:44:22,18.806,59.04,17.39
2016-08-11 19:45:21,22.918,57.55,16.51
2016-08-11 19:45:55,20.629,51.66,17.36
2016-08-11 19:49:16,18.708,53.33,16.81
2016-08-11 19:49:50,56.756,23.41,10.44
2016-08-11 19:49:54,17.893,41.00,11.78
2016-08-11 19:51:22,19.466,55.14,17.43
2016-08-11 19:51:53,20.511,52.62,17.58
2016-08-11 19:53:04,18.339,52.36,17.17
2016-08-11 19:53:33,19.533,51.81,17.02
